datetime,throttle
2023-08-13 14:15:05.0,-60
2023-08-13 14:15:05.3,-50
2023-08-13 14:15:05.6,-40
2023-08-13 14:15:05.8,-30
2023-08-13 14:15:06.1,-20
2023-08-13 14:15:06.4,-10
2023-08-13 14:15:06.7,0
2023-08-13 14:15:06.9,10
2023-08-13 14:15:07.2,20
2023-08-13 14:15:07.5,30
2023-08-13 14:15:07.8,40
2023-08-13 14:15:08.1,50
2023-08-13 14:15:08.4,60
2023-08-13 14:15:08.6,70
2023-08-13 14:15:08.9,80
2023-08-13 14:15:09.2,90
2023-08-13 14:15:09.5,100
2023-08-13 14:15:09.8,100
2023-08-13 14:15:09.8,100
2023-08-13 14:15:09.9,100
2023-08-13 14:15:10.0,100
2023-08-13 14:15:10.1,100
2023-08-13 14:15:10.1,100
2023-08-13 14:15:10.2,100
2023-08-13 14:15:10.3,100
2023-08-13 14:15:10.4,100
2023-08-13 14:15:10.4,100
2023-08-13 14:15:10.5,100
2023-08-13 14:15:10.6,100
2023-08-13 14:15:10.7,100
2023-08-13 14:15:10.8,100
2023-08-13 14:15:10.8,100
2023-08-13 14:15:10.9,100
2023-08-13 14:15:11.0,100
2023-08-13 14:15:11.1,100
2023-08-13 14:15:11.2,100
2023-08-13 14:15:11.2,100
2023-08-13 14:15:11.3,100
2023-08-13 14:15:11.4,100
2023-08-13 14:15:11.5,100
2023-08-13 14:15:11.6,100
2023-08-13 14:15:11.6,100
2023-08-13 14:15:11.7,100
2023-08-13 14:15:11.8,100
2023-08-13 14:15:11.9,100
2023-08-13 14:15:11.9,100
2023-08-13 14:15:12.0,100
2023-08-13 14:15:12.1,100
2023-08-13 14:15:12.2,100
2023-08-13 14:15:12.3,100
2023-08-13 14:15:12.3,100
2023-08-13 14:15:12.4,100
2023-08-13 14:15:12.5,100
2023-08-13 14:15:12.6,100
2023-08-13 14:15:12.7,100
2023-08-13 14:15:12.7,100
2023-08-13 14:15:12.8,100
2023-08-13 14:15:12.9,100
2023-08-13 14:15:13.0,100
2023-08-13 14:15:13.0,100
2023-08-13 14:15:13.1,100
2023-08-13 14:15:13.2,100
2023-08-13 14:15:13.3,100
2023-08-13 14:15:13.4,100
2023-08-13 14:15:13.5,100
